"F2 MART"

location:

"Daily Sale Report"

"From 01/07/2023 To 30/09/2023"

DATE,"TOTAL BILLS","INVOICE RANGE","TOTAL TAXABLE AMOUNT","TOTAL TAX AMOUNT","Taxable Amount 0%","Taxable Amount 3%","Taxable Amount 5%","Taxable Amount 12%","Taxable Amount 18%","Taxable Amount 28%","TOTAL CESS AMOUNT","TOTAL ADDL CESS AMOUNT","TOTAL AMOUNT",CASH,CARD,"OTHER MODES","AMOUNT RETURN","AMOUNT RETURN TO CREDIT","TOTAL ITEMS SOLD","TOTAL QTY","RETURNED ITEMS COUNT","RETURNED QTY"
30-09-2023,18,"A/2324/9975, A/2324/9992",0.00,0.00,8788.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8788.00,7755.00,0.00,2282.00,1249.00,0.00,109.00,140.000,0.00,0.000
29-09-2023,17,"A/2324/9958, A/2324/9974",0.00,0.00,7584.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7584.00,5757.00,0.00,2572.00,745.00,0.00,109.00,133.000,0.00,0.000
28-09-2023,8,"A/2324/9950, A/2324/9957",0.00,0.00,2093.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2093.00,1340.00,0.00,770.00,17.00,0.00,38.00,57.000,0.00,0.000
27-09-2023,12,"A/2324/9938, A/2324/9949",0.00,0.00,5864.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5864.00,4233.00,0.00,2768.00,1137.00,0.00,77.00,88.000,0.00,0.000
26-09-2023,20,"A/2324/9918, A/2324/9937",19.42,0.58,16335.00,19.42,0.00,0.00,0.00,0.00,0.00,0.00,16355.00,4735.00,5819.00,5914.00,113.00,0.00,228.00,301.000,0.00,0.000
25-09-2023,19,"A/2324/9899, A/2324/9917",0.00,0.00,8877.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8877.00,5254.00,0.00,4815.00,1192.00,0.00,117.00,132.000,0.00,0.000
24-09-2023,15,"A/2324/9884, A/2324/9898",0.00,0.00,11845.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11845.00,9805.00,0.00,3646.00,1606.00,0.00,164.00,261.000,0.00,0.000
23-09-2023,22,"A/2324/9862, A/2324/9883",0.00,0.00,15299.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15299.00,6937.00,0.00,9337.00,975.00,0.00,210.00,249.000,0.00,0.000
22-09-2023,13,"A/2324/9849, A/2324/9861",0.00,0.00,5411.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5411.00,5632.00,0.00,1052.00,1273.00,0.00,63.00,79.000,0.00,0.000
21-09-2023,17,"A/2324/9832, A/2324/9848",0.00,0.00,9163.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9163.00,7960.00,0.00,3885.00,2682.00,0.00,124.00,157.000,0.00,0.000
20-09-2023,14,"A/2324/9818, A/2324/9831",38.83,1.17,14466.00,38.83,0.00,0.00,0.00,0.00,0.00,0.00,14506.00,3791.00,0.00,11420.00,705.00,0.00,124.00,175.000,0.00,0.000
19-09-2023,12,"A/2324/9806, A/2324/9817",0.00,0.00,6737.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6737.00,6645.00,0.00,688.00,596.00,0.00,92.00,110.000,0.00,0.000
18-09-2023,26,"A/2324/9780, A/2324/9805",38.83,1.17,15611.00,38.83,0.00,0.00,0.00,0.00,0.00,0.00,15651.00,10929.00,0.00,6663.00,1941.00,0.00,237.00,273.000,0.00,0.000
17-09-2023,63,"A/2324/9717, A/2324/9779",77.67,2.33,49456.00,77.67,0.00,0.00,0.00,0.00,0.00,0.00,49536.00,30242.00,2441.00,19826.00,2973.00,0.00,665.00,810.000,0.00,0.000
16-09-2023,19,"A/2324/9698, A/2324/9716",0.00,0.00,14757.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14757.00,7932.00,0.00,7267.00,442.00,0.00,170.00,215.000,0.00,0.000
15-09-2023,11,"A/2324/9687, A/2324/9697",0.00,0.00,8767.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8767.00,1995.00,0.00,6884.00,112.00,0.00,94.00,115.000,0.00,0.000
14-09-2023,23,"A/2324/9664, A/2324/9686",0.00,0.00,13665.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13665.00,6586.00,0.00,7963.00,884.00,0.00,191.00,293.000,0.00,0.000
13-09-2023,23,"A/2324/9641, A/2324/9663",0.00,0.00,20048.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20048.00,14226.00,0.00,6819.00,997.00,0.00,212.00,272.000,0.00,0.000
12-09-2023,9,"A/2324/9632, A/2324/9640",0.00,0.00,6560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6560.00,5675.00,0.00,1140.00,255.00,0.00,107.00,118.000,0.00,0.000
11-09-2023,6,"A/2324/9626, A/2324/9631",0.00,0.00,2939.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2939.00,644.00,0.00,2295.00,0.00,0.00,55.00,83.000,0.00,0.000
10-09-2023,32,"A/2324/9594, A/2324/9625",0.00,0.00,22139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22139.00,16168.00,0.00,7514.00,1543.00,0.00,254.00,355.000,0.00,0.000
09-09-2023,16,"A/2324/9578, A/2324/9593",0.00,0.00,8325.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8325.00,5571.00,0.00,3486.00,732.00,0.00,122.00,182.000,0.00,0.000
08-09-2023,7,"A/2324/9571, A/2324/9577",0.00,0.00,6306.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6306.00,1400.00,0.00,5222.00,316.00,0.00,75.00,116.000,0.00,0.000
07-09-2023,15,"A/2324/9556, A/2324/9570",0.00,0.00,12677.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12677.00,6772.00,0.00,6419.00,514.00,0.00,167.00,244.000,0.00,0.000
06-09-2023,16,"A/2324/9540, A/2324/9555",0.00,0.00,9195.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9195.00,6768.00,0.00,3241.00,814.00,0.00,129.00,164.000,0.00,0.000
05-09-2023,19,"A/2324/9521, A/2324/9539",0.00,0.00,11098.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11098.00,8036.00,0.00,4564.00,1502.00,0.00,178.00,212.000,0.00,0.000
04-09-2023,24,"A/2324/9497, A/2324/9520",0.00,0.00,16420.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16420.00,10760.00,0.00,6880.00,1220.00,0.00,250.00,327.000,0.00,0.000
03-09-2023,17,"A/2324/9480, A/2324/9496",0.00,0.00,10347.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10347.00,6452.00,0.00,4783.00,888.00,0.00,131.00,186.000,0.00,0.000
02-09-2023,21,"A/2324/9459, A/2324/9479",0.00,0.00,12117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12117.00,11059.00,0.00,1956.00,898.00,0.00,122.00,202.000,0.00,0.000
01-09-2023,21,"A/2324/9438, A/2324/9458",0.00,0.00,9414.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9414.00,8527.00,0.00,2199.00,1312.00,0.00,132.00,175.000,0.00,0.000
31-08-2023,21,"A/2324/9417, A/2324/9437",48.54,1.46,10507.00,48.54,0.00,0.00,0.00,0.00,0.00,0.00,10557.00,10255.00,0.00,2985.00,2683.00,0.00,167.00,218.000,0.00,0.000
30-08-2023,14,"A/2324/9403, A/2324/9416",0.00,0.00,12211.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12211.00,8921.00,0.00,3521.00,231.00,0.00,116.00,194.000,0.00,0.000
29-08-2023,15,"A/2324/9388, A/2324/9402",0.00,0.00,16000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16000.00,13006.00,0.00,4369.00,1375.00,0.00,201.00,257.000,0.00,0.000
28-08-2023,14,"A/2324/9374, A/2324/9387",0.00,0.00,6989.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6989.00,6447.00,0.00,1387.00,845.00,0.00,104.00,152.000,0.00,0.000
27-08-2023,22,"A/2324/9352, A/2324/9373",0.00,0.00,10144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10144.00,6593.00,0.00,4744.00,1193.00,0.00,132.00,184.000,0.00,0.000
26-08-2023,12,"A/2324/9340, A/2324/9351",0.00,0.00,7834.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7834.00,8600.00,0.00,609.00,1375.00,0.00,124.00,171.000,0.00,0.000
25-08-2023,20,"A/2324/9320, A/2324/9339",0.00,0.00,11686.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11686.00,9193.00,0.00,3047.00,554.00,0.00,181.00,211.000,0.00,0.000
24-08-2023,48,"A/2324/9272, A/2324/9319",0.00,0.00,31512.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31512.00,22223.00,0.00,12546.00,3257.00,0.00,430.00,487.000,0.00,0.000
23-08-2023,17,"A/2324/9255, A/2324/9271",0.00,0.00,9539.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9539.00,4646.00,0.00,5277.00,384.00,0.00,106.00,144.000,0.00,0.000
22-08-2023,12,"A/2324/9243, A/2324/9254",0.00,0.00,10018.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10018.00,4000.00,0.00,6887.00,869.00,0.00,139.00,191.000,0.00,0.000
21-08-2023,21,"A/2324/9222, A/2324/9242",0.00,0.00,22501.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22501.00,14371.00,0.00,9443.00,1313.00,0.00,266.00,362.000,0.00,0.000
20-08-2023,11,"A/2324/9211, A/2324/9221",0.00,0.00,6560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6560.00,6188.00,0.00,1412.00,1040.00,0.00,101.00,138.000,0.00,0.000
19-08-2023,11,"A/2324/9200, A/2324/9210",0.00,0.00,6276.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6276.00,3601.00,0.00,2859.00,184.00,0.00,64.00,81.000,0.00,0.000
18-08-2023,11,"A/2324/9189, A/2324/9199",0.00,0.00,23641.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23641.00,23389.00,0.00,880.00,628.00,0.00,110.00,182.000,0.00,0.000
17-08-2023,11,"A/2324/9178, A/2324/9188",0.00,0.00,8236.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8236.00,7153.00,0.00,1480.00,397.00,0.00,105.00,135.000,0.00,0.000
16-08-2023,20,"A/2324/9158, A/2324/9177",0.00,0.00,10816.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10816.00,7183.00,661.00,3866.00,894.00,0.00,167.00,204.000,0.00,0.000
14-08-2023,15,"A/2324/9143, A/2324/9157",0.00,0.00,9558.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9558.00,7631.00,650.00,1581.00,304.00,0.00,100.00,159.000,0.00,0.000
13-08-2023,26,"A/2324/9117, A/2324/9142",0.00,0.00,12924.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12924.00,9550.00,0.00,4321.00,947.00,0.00,184.00,208.000,0.00,0.000
12-08-2023,18,"A/2324/9099, A/2324/9116",53.40,1.60,12403.00,53.40,0.00,0.00,0.00,0.00,0.00,0.00,12458.00,7789.00,0.00,5497.00,828.00,0.00,154.00,202.000,0.00,0.000
11-08-2023,14,"A/2324/9085, A/2324/9098",116.50,3.50,8499.00,116.50,0.00,0.00,0.00,0.00,0.00,0.00,8619.00,4058.00,0.00,4829.00,268.00,0.00,140.00,197.000,0.00,0.000
10-08-2023,17,"A/2324/9068, A/2324/9084",0.00,0.00,12771.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12771.00,10223.00,0.00,2694.00,146.00,0.00,206.00,279.000,0.00,0.000
09-08-2023,10,"A/2324/9058, A/2324/9067",77.67,2.33,4007.00,77.67,0.00,0.00,0.00,0.00,0.00,0.00,4087.00,1756.00,0.00,2689.00,358.00,0.00,55.00,65.000,0.00,0.000
08-08-2023,29,"A/2324/9029, A/2324/9057",0.00,0.00,20446.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20446.00,8645.00,0.00,12881.00,1080.00,0.00,311.00,362.000,0.00,0.000
07-08-2023,18,"A/2324/9011, A/2324/9028",0.00,0.00,14419.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14419.00,12386.00,0.00,2388.00,355.00,0.00,185.00,223.000,0.00,0.000
06-08-2023,21,"A/2324/8990, A/2324/9010",0.00,0.00,12135.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12135.00,6784.00,0.00,6463.00,1112.00,0.00,177.00,212.000,0.00,0.000
05-08-2023,11,"A/2324/8979, A/2324/8989",19.42,0.58,6281.00,19.42,0.00,0.00,0.00,0.00,0.00,0.00,6301.00,4811.00,0.00,2225.00,735.00,0.00,91.00,126.000,0.00,0.000
